title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; CorlopamRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Corlopam<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 54718,98-27357,https://www.federalregister.gov/documents/1998/10/13/98-27357/determination-of-regulatory-review-period-for-purposes-of-patent-extension-corlopamregister,https://www.govinfo.gov/content/pkg/FR-1998-10-13/pdf/98-27357.pdf,1998-10-13, CorlopamRegister,,,Corlopam<Register>,4197297,Neurex Corp.,5081.0,1873,3208.0,"October 28, 1983","October 28, 1983","September 23, 1997",NDA 19-922,730
Determination of Regulatory Review Period for Purposes of Patent Extension; WiktorRegister Prime Coronary Stent System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Wiktor<Register> Prime Coronary Stent System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 54720,98-27392,https://www.federalregister.gov/documents/1998/10/13/98-27392/determination-of-regulatory-review-period-for-purposes-of-patent-extension-wiktorregister-prime,https://www.govinfo.gov/content/pkg/FR-1998-10-13/pdf/98-27392.pdf,1998-10-13, WiktorRegister Prime Coronary Stent System,,,Wiktor<Register> Prime Coronary Stent System,4886062,"Medtronic, Inc.",2489.0,2066,423.0,"September 5, 1990","September 5, 1990","June 27, 1997",PMA P960010,1347
Determination of Regulatory Review Period for Purposes of Patent Extension; Ray Threaded Fusion CageSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Ray Threaded Fusion Cage<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 54719,98-27284,https://www.federalregister.gov/documents/1998/10/13/98-27284/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ray-threaded-fusion,https://www.govinfo.gov/content/pkg/FR-1998-10-13/pdf/98-27284.pdf,1998-10-13, Ray Threaded Fusion CageSUPTM/SUP,,,,,,,,,,,,,
"Determination of Regulatory Review Period for Purposes of Patent Extension; AldaraSUPTM/SUP (4,689,338)",Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aldara<SUP>TM</SUP> (4,689,338) and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 55398,98-27584,https://www.federalregister.gov/documents/1998/10/15/98-27584/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aldarasuptmsup-4689338,https://www.govinfo.gov/content/pkg/FR-1998-10-15/pdf/98-27584.pdf,1998-10-15," AldaraSUPTM/SUP (4,689,338)",,,,,,,,,,,,,
"Determination of Regulatory Review Period for Purposes of Patent Extension; AldaraSUPTM/SUP (5,238,944)",Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aldara<SUP>TM</SUP> (5,238,944) and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 56035,98-27995,https://www.federalregister.gov/documents/1998/10/20/98-27995/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aldarasuptmsup-5238944,https://www.govinfo.gov/content/pkg/FR-1998-10-20/pdf/98-27995.pdf,1998-10-20," AldaraSUPTM/SUP (5,238,944)",,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Neuro Cybernetic Prosthesis (NCPRegister) System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neuro Cybernetic Prosthesis (NCP<Register>) System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 63066,98-30005,https://www.federalregister.gov/documents/1998/11/10/98-30005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neuro-cybernetic,https://www.govinfo.gov/content/pkg/FR-1998-11-10/pdf/98-30005.pdf,1998-11-10, Neuro Cybernetic Prosthesis (NCPRegister) System,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AvaproRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Avapro<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 64268,98-30990,https://www.federalregister.gov/documents/1998/11/19/98-30990/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avaproregister,https://www.govinfo.gov/content/pkg/FR-1998-11-19/pdf/98-30990.pdf,1998-11-19, AvaproRegister,,,Avapro<Register>,5270317,Sanofi,1616.0,1246,370.0,"April 30, 1993","April 30, 1993","September 30, 1997",NDA 20-757,194
Determination of Regulatory Review Period for Purposes of Patent Extension; SeroquelRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Seroquel<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 64721,98-31101,https://www.federalregister.gov/documents/1998/11/23/98-31101/determination-of-regulatory-review-period-for-purposes-of-patent-extension-seroquelregister,https://www.govinfo.gov/content/pkg/FR-1998-11-23/pdf/98-31101.pdf,1998-11-23, SeroquelRegister,,,Seroquel<Register>,4879288,Zeneca Inc.,3264.0,2839,425.0,"October 21, 1988","October 21, 1988","September 26, 1997",NDA 20-639,1651
Determination of Regulatory Review Period for Purposes of Patent Extension; Tisseel VH Kit,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Tisseel VH Kit and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",63 FR 65211,98-31413,https://www.federalregister.gov/documents/1998/11/25/98-31413/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tisseel-vh-kit,https://www.govinfo.gov/content/pkg/FR-1998-11-25/pdf/98-31413.pdf,1998-11-25, Tisseel VH Kit,,,Tisseel VH Kit,4362567,Immuno Aktiengesellschaft fur chemsih-medizinshe Produkte,5065.0,1203,3862.0,"June 20, 1984","June 20, 1984","May 1, 1998",PLA 87-,1827
Determination of Regulatory Review Period for Purposes of Patent Extension; Tasmar,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Tasmar and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 65599,98-31576,https://www.federalregister.gov/documents/1998/11/27/98-31576/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tasmar,https://www.govinfo.gov/content/pkg/FR-1998-11-27/pdf/98-31576.pdf,1998-11-27, Tasmar,,,Tasmar<Register>,5236952,"Hoffman-La Roche, Inc.",2618.0,2014,604.0,"December 1, 1990","December 1, 1990","January 29, 1998",NDA 20-697,530
Determination of Regulatory Review Period for Purposes of Patent Extension; VitreonRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Vitreon<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 69633,98-33457,https://www.federalregister.gov/documents/1998/12/17/98-33457/determination-of-regulatory-review-period-for-purposes-of-patent-extension-vitreonregister,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33457.pdf,1998-12-17, VitreonRegister,,,Vitreon<Register>,4490351,"Vitrophage, Inc.",2729.0,603,2126.0,"April 13, 1990","April 13, 1990","September 30, 1997",PMA P910068,1826
Determination of Regulatory Review Period for Purposes of Patent Extension; Silicone AMORegister ARRAYRegister Multifocal IOL,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Silicone AMO<Register> ARRAY<Register> multifocal IOL and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 69632,98-33453,https://www.federalregister.gov/documents/1998/12/17/98-33453/determination-of-regulatory-review-period-for-purposes-of-patent-extension-silicone-amoregister,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,1998-12-17, Silicone AMORegister ARRAYRegister Multifocal IOL,,,Silicone AMO<Register> ARRAY<Register> multifocal IOL,4898461,"Vision Pharmaceuticals, L.P.",2846.0,2478,368.0,"November 22, 1989","November 22, 1989","September 5, 1997",PMA P960028,1533
